Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1961","1961","t","4000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1962","1962","t","3000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1963","1963","t","8000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1964","1964","t","17199","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1965","1965","t","14654","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1966","1966","t","13855","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1967","1967","t","10000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1968","1968","t","14000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1969","1969","t","14000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1970","1970","t","14000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1971","1971","t","14000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1972","1972","t","18000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1973","1973","t","20000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1974","1974","t","23000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1975","1975","t","25000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1976","1976","t","30000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1977","1977","t","40000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1978","1978","t","50000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1979","1979","t","60000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1980","1980","t","70000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1981","1981","t","80000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1982","1982","t","100000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1983","1983","t","100000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1984","1984","t","100000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1985","1985","t","120000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1986","1986","t","120000","E","Estimated value"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1987","1987","t","150000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1988","1988","t","236000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1989","1989","t","295000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1990","1990","t","221000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1991","1991","t","248800","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1992","1992","t","278000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1993","1993","t","424000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1994","1994","t","270000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1995","1995","t","309800","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1996","1996","t","343200","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1997","1997","t","384000","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1998","1998","t","284800","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","1999","1999","t","303100","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","2000","2000","t","300005","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","2001","2001","t","227800","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","2002","2002","t","372500","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","2003","2003","t","275200","A","Official figure"
"QCL","Crops and livestock products","504","Morocco","5510","Production","01341","Apples","2004","2004","t","396400","A","Official figure"
