Year,Morocco,"Meknès - Tafilalet",Oriental,"Chaouia - Ouardigha","Doukkala - Abda","Fès - Boulemane","Gharb - Chrarda - Béni Hssen","Grand Casablanca","Guelmim - Es-Semara","Laâyoune - Boujdour - Sakia El Hamra","Marrakech - Tensift - Al Haouz","Rabat - Salé - Zemmour - Zaer","Souss - Massa - Draâ","Tadla - Azilal","Tanger - Tétouan","Taza - Al Hoceima - Taounate"
1901,453.26,428.69,571.36,581.37,434.51,671.88,893.02,541.92,130.66,90.08,406.08,783.62,300.38,601.07,1061.53,794.16
1902,386.67,385.11,468.28,480.70,373.15,593.90,702.04,452.58,122.17,59.61,351.24,668.66,260.14,505.65,876.26,665.86
1903,303.26,339.93,320.87,380.59,287.76,460.21,499.15,349.58,108.89,85.09,275.27,504.57,226.08,442.07,583.64,481.54
1904,418.40,443.82,607.80,475.73,350.65,600.25,616.66,425.10,125.66,70.59,363.30,617.36,299.47,551.52,770.87,661.49
1905,348.19,379.36,431.31,413.38,334.50,518.03,558.20,393.01,121.68,73.32,312.57,558.55,254.71,450.55,650.27,540.86
1906,338.24,351.01,423.45,407.30,322.32,486.12,442.52,358.83,121.89,72.32,332.46,509.25,273.51,511.57,519.53,498.85
1907,367.55,382.79,412.90,467.76,412.12,501.41,481.85,421.47,136.73,64.25,405.94,544.37,316.50,541.42,584.36,492.38
1908,324.38,366.60,449.73,353.90,293.63,521.10,468.78,340.17,108.70,69.41,270.85,466.67,217.16,400.91,587.73,518.01
1909,379.68,356.15,326.12,539.70,422.92,513.85,722.97,503.48,136.20,66.41,407.04,724.38,300.83,545.69,893.41,658.39
1910,297.68,336.81,308.48,362.67,262.77,469.23,537.63,340.95,100.40,67.26,251.26,511.08,207.63,428.17,648.18,524.36
1911,365.26,356.93,424.12,473.60,366.61,528.40,621.42,429.38,123.73,64.79,357.15,620.08,270.54,514.91,744.91,595.89
1912,422.10,462.24,481.26,543.66,436.55,613.77,652.64,481.86,140.49,67.45,435.62,663.85,330.48,627.60,721.51,586.26
